City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
2,Atuona,PF,78.64,clear sky,-9.8,-139.0333,Pearl Resort
5,Vaini,TO,77.16,moderate rain,-21.2,-175.2,Keleti International Resort
11,East London,ZA,75.6,overcast clouds,-33.0153,27.9116,Inverleith Terrace
22,Rikitea,PF,78.19,light rain,-23.1203,-134.9692,Chez Bianca & Benoit
26,Fare,PF,81.59,light rain,-16.7,-151.0167,hôtel Maitai Lapita Village
27,Port Elizabeth,ZA,75.09,broken clouds,-33.918,25.5701,Waterford Hotel
34,Manokwari,ID,83.03,overcast clouds,-0.8667,134.0833,Hotel Arfak
38,Lamu,KE,88.02,light rain,-2.2717,40.902,Hotel Archipelago villa bed and breakfast
41,Mahebourg,MU,81.01,broken clouds,-20.4081,57.7,Grand Bel Air
47,Luganville,VU,79.0,moderate rain,-15.5333,167.1667,Beachfront Resort
52,Avarua,CK,77.05,broken clouds,-21.2078,-159.775,Paradise Inn
61,Quatre Cocos,MU,81.36,few clouds,-20.2078,57.7625,Horisun
78,Vryburg,ZA,80.71,clear sky,-26.9566,24.7284,International Hotel
82,Sambava,MG,81.91,scattered clouds,-14.2667,50.1667,Royal Sava Hôtel
85,Cartagena,CO,76.62,few clouds,10.3997,-75.5144,Hotel Bellamar
88,Jejuri,IN,77.74,clear sky,18.2833,74.1667,hotel durga lunch home
104,Karratha,AU,88.48,overcast clouds,-20.7377,116.8463,Karratha International Hotel
109,Hithadhoo,MV,80.55,few clouds,-0.6,73.0833,Pebbles Inn
119,Lorengau,PG,80.35,overcast clouds,-2.0226,147.2712,Seeadler Bay Hotel
127,Bengkulu,ID,82.78,overcast clouds,-3.8004,102.2655,Dena Hotel
128,Sinnamary,GF,75.47,overcast clouds,5.3833,-52.95,Hôtel du fleuve
141,Vila Velha,BR,75.15,few clouds,-20.3297,-40.2925,Hotel Prainha
145,Vanimo,PG,78.94,overcast clouds,-2.6741,141.3028,CBC Guesthouse
151,Padang,ID,86.05,overcast clouds,-0.9492,100.3543,losmen Surya
156,Georgetown,MY,89.53,few clouds,5.4112,100.3354,Page 63 hostel
158,Saint-Pierre,RE,85.68,light rain,-21.3393,55.4781,Tropic Hotel
160,Phan Thiet,VN,82.89,overcast clouds,10.9333,108.1,Khách sạn Cà Ty
175,Bosaso,SO,78.35,few clouds,11.2842,49.1816,Bosaso hotel
176,Kavieng,PG,79.74,overcast clouds,-2.5744,150.7967,Kavieng Hotel
180,Sao Sebastiao,BR,75.51,overcast clouds,-23.76,-45.4097,Hotel do Sol Executive
194,Omboue,GA,80.08,broken clouds,-1.5746,9.2618,Georges Faustin Aurat
200,Alyangula,AU,85.06,light rain,-13.8483,136.4192,Bougainvillea Drive
207,French Harbor,HN,79.07,few clouds,16.35,-86.4333,Fantasy Island
223,Oistins,BB,77.09,light rain,13.0667,-59.5333,The Abidah By Accra
226,Ranot,TH,81.36,overcast clouds,7.7777,100.3213,Tarin Hotel
228,Fougamou,GA,75.58,overcast clouds,-1.2154,10.5838,Auberge
229,Port-Gentil,GA,80.56,thunderstorm,-0.7193,8.7815,Tara-Mé
230,Ranong,TH,85.93,moderate rain,9.9658,98.6348,Rattana Sin Hotel
232,Souillac,MU,86.38,scattered clouds,-20.5167,57.5167,Hotel SkylineInn
242,Saint-Philippe,RE,85.59,overcast clouds,-21.3585,55.7679,Le Baril
246,Alice Springs,AU,80.15,overcast clouds,-23.7,133.8833,Aurora Alice Springs
249,Magadi,IN,81.75,clear sky,12.9667,77.2333,Udupi Upahara
252,Katherine,AU,89.92,overcast clouds,-14.4667,132.2667,Warburton Street
260,Guaruja,BR,75.9,overcast clouds,-23.9931,-46.2564,Pousada
272,Sampit,ID,86.25,overcast clouds,-2.5333,112.95,Hotel Sultan
