City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Clouds,Wind,Weather Description
0,Barrow,US,71.2906,-156.7887,8.62,78,100,16.11,light snow
1,Ninghai,CN,29.2892,121.4247,50.65,65,16,5.66,few clouds
2,Atuona,PF,-9.8,-139.0333,78.64,73,10,18.97,clear sky
3,Ushuaia,AR,-54.8,-68.3,38.86,87,75,3.44,light rain
4,Fortuna,US,40.5982,-124.1573,52.14,71,100,17.27,overcast clouds
5,Vaini,TO,-21.2,-175.2,77.16,94,100,3.44,moderate rain
6,Lagoa,PT,39.05,-27.9833,59.61,78,10,20.65,clear sky
7,Ahipara,NZ,-35.1667,173.1667,68.2,97,100,13.69,overcast clouds
8,Punta Arenas,CL,-53.15,-70.9167,50.11,93,40,39.12,light rain
9,Les Cayes,HT,18.2,-73.75,71.2,85,4,5.73,clear sky
10,Armilla,ES,37.141,-3.6185,49.14,93,0,2.3,clear sky
11,East London,ZA,-33.0153,27.9116,75.6,68,96,17.83,overcast clouds
12,Vila,PT,42.0304,-8.1588,34.68,86,47,3.04,scattered clouds
13,Bluff,NZ,-46.6,168.3333,60.84,85,100,7.99,moderate rain
14,Nome,US,64.5011,-165.4064,24.87,93,100,9.22,light snow
15,Riohacha,CO,11.5444,-72.9072,72.48,89,0,8.37,clear sky
16,Ponta Do Sol,PT,32.6667,-17.1,63.23,69,44,8.37,scattered clouds
17,Albany,US,42.6001,-73.9662,38.53,94,100,3.04,overcast clouds
18,Hay River,CA,60.8156,-115.7999,-3.42,100,65,4.41,broken clouds
19,Castro,BR,-24.7911,-50.0119,63.5,99,100,0.76,heavy intensity rain
20,Cabo San Lucas,MX,22.8909,-109.9124,67.51,81,0,6.35,clear sky
21,Puerto Ayora,EC,-0.7393,-90.3518,69.55,94,5,5.17,clear sky
22,Rikitea,PF,-23.1203,-134.9692,78.19,78,100,15.68,light rain
23,Portland,US,45.5234,-122.6762,42.69,92,100,12.66,overcast clouds
24,Busselton,AU,-33.65,115.3333,87.71,32,44,3.98,scattered clouds
25,San Cristobal,VE,7.7669,-72.225,61.29,94,26,2.89,scattered clouds
26,Fare,PF,-16.7,-151.0167,81.59,76,100,16.67,light rain
27,Port Elizabeth,ZA,-33.918,25.5701,75.09,88,75,19.57,broken clouds
28,Mataura,NZ,-46.1927,168.8643,67.69,75,100,2.13,overcast clouds
29,Nanortalik,GL,60.1432,-45.2371,20.84,66,94,8.9,overcast clouds
30,Jamestown,US,42.097,-79.2353,58.01,68,100,11.5,mist
31,Yellowknife,CA,62.456,-114.3525,7.32,85,100,5.75,light snow
32,Tasiilaq,GL,65.6145,-37.6368,6.96,92,81,5.95,broken clouds
33,Mayo,US,38.8876,-76.5119,65.86,78,0,8.05,clear sky
34,Manokwari,ID,-0.8667,134.0833,83.03,76,91,7.81,overcast clouds
