City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Mataura,NZ,2022-12-21 04:36:10,-46.1927,168.8643,61.43,59,87,7.81
1,Punta Arenas,CL,2022-12-21 04:32:20,-53.15,-70.9167,51.91,71,0,6.91
2,Along,IN,2022-12-21 04:36:11,28.1667,94.7667,71.51,39,83,0.83
3,The Valley,AI,2022-12-21 04:36:12,18.217,-63.0578,79.11,74,1,15.35
4,Atuona,PF,2022-12-21 04:36:12,-9.8,-139.0333,78.48,80,9,21.83
5,Tuatapere,NZ,2022-12-21 04:36:13,-46.1333,167.6833,63.52,57,20,9.73
6,Tasiilaq,GL,2022-12-21 04:36:13,65.6145,-37.6368,12.36,54,6,3.87
7,Kutum,SD,2022-12-21 04:36:14,14.2,24.6667,57.85,50,33,5.68
8,Tank,PK,2022-12-21 04:36:15,32.2217,70.3793,66.22,23,0,2.21
9,Saint-Philippe,RE,2022-12-21 04:36:15,-21.3585,55.7679,81.99,77,96,7.29
10,Mahebourg,MU,2022-12-21 04:36:16,-20.4081,57.7,80.89,65,40,6.91
11,Tursunzoda,TJ,2022-12-21 04:35:13,38.5144,68.2333,43.95,56,74,1.74
12,Komsomolskiy,UZ,2022-12-21 04:36:17,40.4272,71.7189,29.12,93,100,4.61
13,Torbay,CA,2022-12-21 04:35:33,47.6666,-52.7314,34.57,87,75,24.0
14,Barrow,US,2022-12-21 04:36:17,71.2906,-156.7887,-12.98,84,0,6.91
15,Uruacu,BR,2022-12-21 04:34:44,-14.5247,-49.1408,68.36,99,100,1.97
16,Charters Towers,AU,2022-12-21 04:36:18,-20.1,146.2667,89.01,34,11,19.06
17,Saint George,US,2022-12-21 04:35:35,37.1041,-113.5841,36.63,60,0,1.01
18,Houlton,US,2022-12-21 04:36:19,46.1262,-67.8403,28.81,93,100,3.44
19,Jamestown,US,2022-12-21 04:33:59,42.097,-79.2353,27.72,97,75,4.61
20,Harper,LR,2022-12-21 04:36:19,4.375,-7.7169,76.89,84,93,3.65
21,Busselton,AU,2022-12-21 04:36:20,-33.65,115.3333,83.3,37,57,6.64
22,Basco,PH,2022-12-21 04:36:20,20.4487,121.9702,75.0,78,100,21.61
23,San Jose,US,2022-12-21 04:32:01,37.3394,-121.895,50.47,82,20,3.44
24,Kudahuvadhoo,MV,2022-12-21 04:36:21,2.6708,72.8944,78.01,85,100,17.52
25,Victoria,HK,2022-12-21 04:34:02,22.2855,114.1577,70.25,44,100,11.01
26,Hilo,US,2022-12-21 04:33:19,19.7297,-155.09,73.26,85,20,3.44
27,Vila Franca Do Campo,PT,2022-12-21 04:36:22,37.7167,-25.4333,67.19,96,99,11.95
28,Yellowknife,CA,2022-12-21 04:33:14,62.456,-114.3525,-32.28,68,20,6.91
29,Broome,US,2022-12-21 04:36:23,42.2506,-75.833,21.58,86,0,0.0
30,Matongo,TZ,2022-12-21 04:36:24,-2.3833,34.0833,66.24,80,94,2.89
31,Hithadhoo,MV,2022-12-21 04:33:28,-0.6,73.0833,80.73,71,99,11.52
32,Provideniya,RU,2022-12-21 04:36:25,64.3833,-173.3,21.31,63,0,26.84
33,Clyde River,CA,2022-12-21 04:36:25,70.4692,-68.5914,-3.77,77,100,17.27
34,Cape Town,ZA,2022-12-21 04:33:00,-33.9258,18.4232,63.12,72,0,18.41
35,Chongwe,ZM,2022-12-21 04:36:26,-15.3292,28.682,66.36,94,100,2.77
36,Sur,OM,2022-12-21 04:36:26,22.5667,59.5289,76.15,45,0,8.72
37,Saint-Andre-Les-Vergers,FR,2022-12-21 04:36:27,48.2853,4.0521,53.64,94,100,10.36
38,Pangnirtung,CA,2022-12-21 04:36:27,66.1451,-65.7125,3.83,80,33,4.23
39,Sao Joao Da Barra,BR,2022-12-21 04:36:28,-21.6403,-41.0511,72.54,94,100,8.1
40,Kaeo,NZ,2022-12-21 04:36:29,-35.1,173.7833,74.32,72,2,7.81
41,Yoichi,JP,2022-12-21 04:36:29,43.2039,140.7703,33.82,59,100,6.2
42,Vaini,TO,2022-12-21 04:36:30,-21.2,-175.2,84.36,84,40,10.36
43,Sechura,PE,2022-12-21 04:36:30,-5.5569,-80.8222,69.73,83,79,7.0
44,Escanaba,US,2022-12-21 04:36:31,45.7453,-87.0646,10.71,76,0,10.36
45,Abha,SA,2022-12-21 04:35:04,18.2164,42.5053,44.42,75,0,0.0
46,Ushuaia,AR,2022-12-21 04:37:32,-54.8,-68.3,55.06,58,0,17.27
47,Albany,US,2022-12-21 04:35:22,42.6001,-73.9662,20.88,90,35,3.78
48,Ossora,RU,2022-12-21 04:37:32,59.2353,163.0719,32.09,97,100,34.23
49,Beringovskiy,RU,2022-12-21 04:37:33,63.05,179.3167,30.33,67,7,28.41
50,Port Said,EG,2022-12-21 04:37:34,31.2565,32.2841,60.78,94,40,13.8
51,Gouyave,GD,2022-12-21 04:37:34,12.1646,-61.7296,77.77,78,20,11.5
52,Pevek,RU,2022-12-21 04:37:35,69.7008,170.3133,12.76,63,95,10.0
53,Lompoc,US,2022-12-21 04:37:35,34.6391,-120.4579,49.59,92,60,8.48
54,Havre-Saint-Pierre,CA,2022-12-21 04:37:36,50.2334,-63.5986,28.4,80,100,5.75
55,Arraial Do Cabo,BR,2022-12-21 04:35:37,-22.9661,-42.0278,71.26,91,100,15.41
56,Rikitea,PF,2022-12-21 04:37:37,-23.1203,-134.9692,76.46,86,43,18.12
57,Severnyy,RU,2022-12-21 04:37:37,50.677,36.5532,30.24,93,100,6.71
58,Bluff,NZ,2022-12-21 04:37:38,-46.6,168.3333,56.75,71,95,20.42
59,Souillac,MU,2022-12-21 04:37:38,-20.5167,57.5167,80.98,65,40,6.91
60,Mount Gambier,AU,2022-12-21 04:36:57,-37.8333,140.7667,78.46,38,100,13.96
